indice_tiempo,tipo_cambio_bna_vendedor,tipo_cambio_a3500,tipo_cambio_mae,volumen_mae,tipo_cambio_implicito_en_adrs,futuro_rofex_usd1m,interes_abierto_1m,futuro_rofex_usd2m,interes_abierto_2m,futuro_rofex_usd3m,interes_abierto_3m,futuro_rofex_usd4m,interes_abierto_4m,futuro_rofex_usd5m,interes_abierto_5m,futuro_rofex_usd6m,interes_abierto_6m
2014-11-03,8.49,8.507,8.508,70630.0,13.355263157894738,8.6,772078.0,8.74,728463.0,8.9,755589.0,9.09,670847.0,9.3,731366.0,9.55,260785.0
2014-11-04,8.51,8.506499999999999,8.507,53500.0,13.27284946236559,8.6,768141.0,8.72,737255.0,8.89,755255.0,9.07,669846.0,9.3,738626.0,9.55,260655.0
2014-11-05,8.51,8.5087,8.508,82200.0,12.876802096985584,8.6,768141.0,8.72,737255.0,8.88,755255.0,9.07,669846.0,9.29,738626.0,9.53,260655.0
2014-11-06,8.51,8.5087,8.508,,12.876802096985584,8.6,749285.0,8.72,740653.0,8.88,755305.0,9.07,664756.0,9.29,741451.0,9.53,260828.0
2014-11-07,8.51,8.509,8.509,179800.0,12.74054412740544,8.6,742070.0,8.73,743158.0,8.88,747305.0,9.06,654046.0,9.28,741451.0,9.54,261828.0
2014-11-08,8.51,8.509,8.509,,12.74054412740544,8.6,742070.0,8.73,743158.0,8.88,747305.0,9.06,654046.0,9.28,741451.0,9.54,261828.0
2014-11-09,8.51,8.509,8.509,,12.74054412740544,8.6,742070.0,8.73,743158.0,8.88,747305.0,9.06,654046.0,9.28,741451.0,9.54,261828.0
2014-11-10,8.51,8.5127,8.509,112800.0,12.758851035404142,8.59,719400.0,8.72,735138.0,8.88,747305.0,9.06,654046.0,9.28,741451.0,9.53,261828.0
2014-11-11,8.51,8.5122,8.509,112800.0,12.375249500998004,8.57,714837.0,8.7,740118.0,8.86,747285.0,9.05,654026.0,9.26,741451.0,9.51,261828.0
2014-11-12,8.51,8.5115,8.51,53500.0,12.300531914893618,8.55,671451.0,8.65,742918.0,8.8,745706.0,8.95,651926.0,9.15,753452.0,9.41,283613.0
2014-11-13,8.51,8.5102,8.51,95380.0,12.238219895287958,8.54,661955.0,8.64,743947.0,8.78,771931.0,8.93,643226.0,9.1,756802.0,9.36,285026.0
2014-11-14,8.51,8.5115,8.511,90700.0,12.151394422310757,8.54,660820.0,8.63,754418.0,8.77,786844.0,8.9,643224.0,9.07,780802.0,9.32,284576.0
2014-11-15,8.51,8.5115,8.511,,12.151394422310757,8.54,660820.0,8.63,754418.0,8.77,786844.0,8.9,643224.0,9.07,780802.0,9.32,284576.0
2014-11-16,8.51,8.5115,8.511,,12.151394422310757,8.54,660820.0,8.63,754418.0,8.77,786844.0,8.9,643224.0,9.07,780802.0,9.32,284576.0
